PT. SINAR PURE FOODS INTERNATIONAL;;;;;;;;;;
Purchase Requisition Slip (PRS) Not Yet Purchase Order (PO);;;;;;;;;;
As Of February 11, 2026;;;;;;;;;;
;;;;;;;;;;
Canvasser Name: Erni Ending;;;;;;;;;;
Purchase Requisition Slip;;;Item;;;;;Department;;
26432;70460012304;31-03-2020;56003;CEMENT TONASA 50 KG/SACK;0,00;3,00;SACK;7046;Engineering;
26433;70460012304;31-03-2020;60220;MATA KRAN LEHER ANGSA;0,00;1,00;PCS;7046;Engineering;
26506;70420012328;02-04-2020;30027;CARTONS 307/48 BROWN 168;3.448,00;5.000,00;PCS;7042;Inventory Management;
26519;70440012335;02-04-2020;10066;SUGAR WHITE;62,00;1,58;KGS;7044;Quality Assurance;
26520;70440012335;02-04-2020;10016;GINGER/JAHE;29,25;0,62;KGS;7044;Quality Assurance;
26521;70440012335;02-04-2020;10015;ONION/BAWANG MERAH;47,00;3,60;KGS;7044;Quality Assurance;
26527;70460012340;03-04-2020;60220;MATA KRAN LEHER ANGSA;0,00;1,00;PCS;7046;Engineering;
26547;70460012347;04-04-2020;02978;SL/C TOOLS & MATERIALS  FOR PEMASANGAN WALL PAPER BINGKAI BETON DI PINTU KACA DEPAN ADMIN;0,00;9,60;M2;7046;Engineering;
26557;70460012352;07-04-2020;60020;SCREEN KAWAT HALUS SS;0,00;50,00;MTR;7046;Engineering;
26578;70420012367;09-04-2020;33125;CARTON WITH PRINTING GOLDEN BELL SLO 170 GM;0,00;1.750,00;PCS;7042;Inventory Management;
26579;70420012367;09-04-2020;33126;CARTON WITH PRINTING GOLDEN BELL SSO 185 GM;0,00;1.750,00;PCS;7042;Inventory Management;
26633;70440012394;16-04-2020;10066;SUGAR WHITE;47,00;7,50;KGS;7044;Quality Assurance;
26640;70440012395;16-04-2020;10066;SUGAR WHITE;47,00;12,50;KGS;7044;Quality Assurance;
26645;70320012399;17-04-2020;54662;DETOL ANTIBACTERIAL HAND WASH;0,00;12,00;BTL;7032;Fixed Fish Procurement;
26679;70320012414;20-04-2020;10016;GINGER/JAHE;10,10;6,00;KGS;7032;Fixed Fish Procurement;
26681;70320012414;20-04-2020;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
26688;70420012419;22-04-2020;42121;LABEL 307/TFC ISABELLA TUNA CABE DALAM MINYAK;0,00;10.000,00;PCS;7042;Inventory Management;
26687;70460012418;22-04-2020;69062;KUNCI PINTU SLIDDING (ASPER SAMPLE);0,00;1,00;PCS;7046;Engineering;
26701;70440012421;23-04-2020;10020;LEMON GRASS/DAUN LEMON;0,00;4,80;KGS;7044;Quality Assurance;
26704;70440012421;23-04-2020;10066;SUGAR WHITE;27,00;4,00;KGS;7044;Quality Assurance;
26691;70460012420;23-04-2020;55120;KUNCI PINTU LEMARI DORONG furniture;0,00;1,00;SET;7046;Engineering;
26692;70460012420;23-04-2020;55121;KUNCI LACI MEJA FURNITURE;0,00;1,00;SET;7046;Engineering;
26693;70460012420;23-04-2020;55122;KUNCI LACI RAK FURNITURE;0,00;1,00;SET;7046;Engineering;
26722;70420012428;24-04-2020;42121;LABEL 307/TFC ISABELLA TUNA CABE DALAM MINYAK;12.000,00;30.000,00;PCS;7042;Inventory Management;
26762;70440012449;30-04-2020;10066;SUGAR WHITE;27,00;15,00;KGS;7044;Quality Assurance;
26771;70440012452;30-04-2020;10066;SUGAR WHITE;27,00;2,00;KGS;7044;Quality Assurance;
26772;70440012453;30-04-2020;10020;LEMON GRASS/DAUN LEMON;0,00;2,40;KGS;7044;Quality Assurance;
26781;70320012458;04-05-2020;10235;CENGKEH;0,00;1,00;KGS;7032;Fixed Fish Procurement;
26782;70320012458;04-05-2020;10016;GINGER/JAHE;0,00;6,00;KGS;7032;Fixed Fish Procurement;
26783;70320012458;04-05-2020;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
26810;70320012475;08-05-2020;91315;VITAMIN B6 / PYRIDOXINE @ 100 TAB;0,00;50,00;PCS;7032;Fixed Fish Procurement;
26817;70320012476;08-05-2020;91361;TETRACILINE @120 TAB/TUBE;0,00;2,00;BOX;7032;Fixed Fish Procurement;
26832;70460012482;09-05-2020;64793;ATAP SENG WITICO ROOF 3,3 MM X 73 CM X 10.17 MTRS;20,00;10,00;SHEETS;7046;Engineering;
26833;70460012482;09-05-2020;66058;PAKU SENG (SCREW BOLT 5 MM X 2 ) @ 300PCS/ Box;0,00;2,00;BAGS;7046;Engineering;
26850;70460012490;11-05-2020;69560;BALOK KAYU 4CM X 6CM X 4MTR;5,00;10,00;LE;7046;Engineering;
26905;70420012504;14-05-2020;90227;INK COLOR CANON BLACK;1,00;2,00;BTL;7042;Inventory Management;
26906;70420012504;14-05-2020;91279;Tinta Printer Epson L210 (T6641) Black;2,00;3,00;PCS;7042;Inventory Management;
26892;70460012509;15-05-2020;52421;TALI NYLON NO. 18;0,00;30,00;MTR;7046;Engineering;
26895;70460012510;15-05-2020;69079;PROFIL GYPSUM SP - 5 @ 2MTR / LE;0,00;5,00;LE;7046;Engineering;
26921;70460012529;22-05-2020;16747;Batu Alam;0,00;3,00;M2;7046;Engineering;
26923;70320012531;26-05-2020;10235;CENGKEH;0,00;1,00;KGS;7032;Fixed Fish Procurement;
26924;70320012531;26-05-2020;10016;GINGER/JAHE;0,00;6,00;KGS;7032;Fixed Fish Procurement;
26925;70320012531;26-05-2020;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
26949;70440012543;28-05-2020;10047;OLEORESIN;0,00;15,00;KG;7044;Quality Assurance;
26960;70320012551;02-06-2020;90663;MOUSE KOMPUTER (MERK LOGITECH);0,00;1,00;PCS;7032;Fixed Fish Procurement;
26974;70460012563;04-06-2020;61138;TILE GRANITO 40X40 WHITE COLOR;0,00;5,00;DOS;7046;Engineering;
27066;70440012605;17-06-2020;50339;MERICA LADAKU;0,00;0,72;KGS;7044;Quality Assurance;
27080;70440012608;17-06-2020;10016;GINGER/JAHE;0,00;0,52;KGS;7044;Quality Assurance;
27081;70440012608;17-06-2020;10015;ONION/BAWANG MERAH;-4,00;3,00;KGS;7044;Quality Assurance;
27082;70440012609;17-06-2020;10015;ONION/BAWANG MERAH;-4,00;4,42;KGS;7044;Quality Assurance;
27083;70440012609;17-06-2020;10014;GARLIC/BAWANG PUTIH;0,00;0,79;KGS;7044;Quality Assurance;
27084;70440012609;17-06-2020;10016;GINGER/JAHE;0,00;0,79;KGS;7044;Quality Assurance;
27085;70440012609;17-06-2020;10037;CABE RAWIT;0,00;1,38;KG;7044;Quality Assurance;
27086;70440012609;17-06-2020;10024;RED CHILI - BIG SIZE;0,00;2,40;KGS;7044;Quality Assurance;
27087;70440012609;17-06-2020;10018;CANDLENUT/KEMIRI;0,00;0,79;KGS;7044;Quality Assurance;
27090;70320012610;18-06-2020;10235;CENGKEH;0,00;1,00;KGS;7032;Fixed Fish Procurement;
27091;70320012610;18-06-2020;10016;GINGER/JAHE;0,00;8,00;KGS;7032;Fixed Fish Procurement;
27092;70320012610;18-06-2020;10117;KAYU MANIS / CINNAMON;0,00;1.000,00;GRAMS;7032;Fixed Fish Procurement;
27101;70440012617;22-06-2020;10069;MAIZENA;0,00;2,40;KGS;7044;Quality Assurance;
27166;70320012650;26-06-2020;10235;CENGKEH;0,00;1,00;KGS;7032;Fixed Fish Procurement;
27167;70320012650;26-06-2020;10016;GINGER/JAHE;0,72;7,00;KGS;7032;Fixed Fish Procurement;
27188;70460012662;30-06-2020;53533;SIKU ALUMIUM 15CM X 1.5CM;0,00;4,00;LGTS;7046;Engineering;
27190;70460012663;30-06-2020;66050;KOMPON GYPSUM @ 25KG;0,00;1,00;SACK;7046;Engineering;
27191;70460012663;30-06-2020;50082;PAINT BRUSH 2.5;0,00;3,00;PCS;7046;Engineering;
27196;70460012668;30-06-2020;51438;DUMBASTER / ACHIDID LIQUID DRAIN @1LTR;0,00;2,00;GLN;7046;Engineering;
27240;70320012690;06-07-2020;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
27241;70320012690;06-07-2020;10016;GINGER/JAHE;0,00;4,00;KGS;7032;Fixed Fish Procurement;
27235;70440012687;06-07-2020;10066;SUGAR WHITE;6,00;1,50;KGS;7044;Quality Assurance;
27243;70460012691;06-07-2020;64913;MOWILEX / VARNISH @ 1 KG/TINS;0,00;1,00;TIN;7046;Engineering;
27294;70420012713;09-07-2020;20030;EMPTY CAN  307 X  113 LITHOGRAPH FOR SIRENA IN SPRINGWATER;0,00;39.600,00;SETS;7042;Inventory Management;
27285;70480012709;09-07-2020;94521;FACE SHIELD [ PELINDUNG WAJAH ];0,00;1,00;PCS;7048;Human Resources Development;
27288;70480012709;09-07-2020;90156;PLASTIK ALAS TEMPAT TIDUR (WARNA BIRU MUDA) uk : 2x2?m;0,00;5,00;MTR;7048;Human Resources Development;
27309;70460012721;10-07-2020;65001;METROLITE  CREAM PAINT  @ 5 KG;1,00;1,00;TIN;7046;Engineering;
27310;70460012721;10-07-2020;58553;ROLL KUAS 10CM @ 10 PCS / PAK;1,00;1,00;PCS;7046;Engineering;
27311;70460012721;10-07-2020;52677;KUAS TANGAN 2 INC;2,00;1,00;PC;7046;Engineering;
27315;70320012724;11-07-2020;10235;CENGKEH;0,00;1,00;KGS;7032;Fixed Fish Procurement;
27316;70320012724;11-07-2020;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
27317;70320012724;11-07-2020;10016;GINGER/JAHE;0,00;6,00;KGS;7032;Fixed Fish Procurement;
27335;70460012729;13-07-2020;50043;MASKER HIDUNG GOOD QUALITY;0,00;9,00;DOS;7046;Engineering;
27370;70320012748;16-07-2020;10235;CENGKEH;0,00;0,50;KGS;7032;Fixed Fish Procurement;
27371;70320012748;16-07-2020;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
27372;70320012748;16-07-2020;10016;GINGER/JAHE;11,20;6,00;KGS;7032;Fixed Fish Procurement;
27550;70460012839;12-08-2020;51963;PELAMPUNG KLOSET DUDUK;0,00;1,00;PCS;7046;Engineering;
27565;70440012842;13-08-2020;10066;SUGAR WHITE;2,00;7,50;KGS;7044;Quality Assurance;
27572;70320012848;14-08-2020;10235;CENGKEH;0,00;0,50;KGS;7032;Fixed Fish Procurement;
27573;70320012848;14-08-2020;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
27574;70320012848;14-08-2020;10016;GINGER/JAHE;0,00;5,00;KGS;7032;Fixed Fish Procurement;
27592;70460012855;18-08-2020;52442;PENUTUP GALLON AQUA;200,00;1.000,00;PCS;7048;Human Resources Development;
27597;70460012860;19-08-2020;69700;SARINGAN KAMAR MANDI ( stainless );0,00;4,00;PCS;7046;Engineering;
27621;70440012871;21-08-2020;96250;SOFA / TEMPAT DUDUK FOR TAMU;0,00;1,00;UNIT;7044;Quality Assurance;
27629;70320012877;24-08-2020;10235;CENGKEH;0,00;0,50;KGS;7032;Fixed Fish Procurement;
27630;70320012877;24-08-2020;10016;GINGER/JAHE;10,50;5,00;KGS;7032;Fixed Fish Procurement;
27631;70320012877;24-08-2020;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
27643;70460012887;25-08-2020;55007;METROLITE WHITE PAINT @ 16 KG;0,00;2,00;PAIL;7046;Engineering;
27657;70420012892;26-08-2020;52330;PLEDGE @ 170 ML;0,00;2,00;BTL;7042;Inventory Management;
27658;70420012892;26-08-2020;52022;ALKOHOL 96% @ 1000 ML;0,00;2,00;BTL;7042;Inventory Management;
27659;70420012892;26-08-2020;58336;KEMOCENG [ PLASTIC RAFIAF ];0,00;3,00;PCS;7042;Inventory Management;
27660;70630012893;26-08-2020;50175;SPANDUK PROMO VIAND TUNA;0,00;1,00;PCS;7063;Variable Viand Tuna;
27677;70460012899;28-08-2020;55007;METROLITE WHITE PAINT @ 16 KG;0,00;1,00;PAIL;7046;Engineering;
27703;70440012909;01-09-2020;10020;LEMON GRASS/DAUN LEMON;0,00;2,40;KGS;7044;Quality Assurance;
27704;70440012909;01-09-2020;10026;BATANG SEREH;0,00;2,00;KGS;7044;Quality Assurance;
27706;70440012909;01-09-2020;10066;SUGAR WHITE;0,00;2,00;KGS;7044;Quality Assurance;
27732;70320012916;02-09-2020;10235;CENGKEH;0,00;0,50;KGS;7032;Fixed Fish Procurement;
27733;70320012916;02-09-2020;10016;GINGER/JAHE;0,00;6,00;KGS;7032;Fixed Fish Procurement;
27745;70420012921;03-09-2020;21517;CANS 307 X 112 GREY BODY IMPORT;0,00;738.072,00;PCS;7042;Inventory Management;
27746;70420012921;03-09-2020;21516;EOE PRINTED LIDS FOR DOLPHIN CHUNKS;0,00;738.072,00;PCS;7042;Inventory Management;
27747;70420012922;03-09-2020;30161;CARTON WITH PRINTING DOLPHIN SCO 185GR 307;0,00;15.480,00;PCS;7042;Inventory Management;
27740;70460012918;03-09-2020;52174;KRAN AIR MERK TOTO S/S 1/2 INCH;0,00;3,00;PCS;7046;Engineering;
27797;70420012950;10-09-2020;42256;LABELS 307 DOLPHIN CHUNKS IN OIL;0,00;247.248,00;PCS;7042;Inventory Management;
27813;70320012958;14-09-2020;10016;GINGER/JAHE;0,00;4,50;KGS;7032;Fixed Fish Procurement;
27867;70320012985;18-09-2020;10235;CENGKEH;0,00;0,50;KGS;7032;Fixed Fish Procurement;
27868;70320012985;18-09-2020;10016;GINGER/JAHE;0,00;6,00;KGS;7032;Fixed Fish Procurement;
27869;70320012985;18-09-2020;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
27865;70420012983;18-09-2020;53187;SPRAY DESINFECTAN ;0,00;2,00;PCS;7042;Inventory Management;
27973;70440013043;07-10-2020;10021;YELOW GINGER LEAVE/DAUN KUNYIT;0,00;2,00;KGS;7044;Quality Assurance;
27974;70440013043;07-10-2020;10066;SUGAR WHITE;0,00;2,00;KGS;7044;Quality Assurance;
27980;70320013048;08-10-2020;10235;CENGKEH;0,00;1,00;KGS;7032;Fixed Fish Procurement;
27981;70320013048;08-10-2020;10117;KAYU MANIS / CINNAMON;0,00;600,00;GRAMS;7032;Fixed Fish Procurement;
27982;70320013048;08-10-2020;10016;GINGER/JAHE;0,00;6,70;KGS;7032;Fixed Fish Procurement;
28020;70320013070;19-10-2020;10235;CENGKEH;0,00;0,50;KGS;7032;Fixed Fish Procurement;
28021;70320013070;19-10-2020;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
28022;70320013070;19-10-2020;10016;GINGER/JAHE;15,00;6,00;KGS;7032;Fixed Fish Procurement;
28060;70630013085;23-10-2020;50175;SPANDUK PROMO VIAND TUNA;0,00;1,00;PCS;7063;Variable Viand Tuna;
28092;70320013105;27-10-2020;10235;CENGKEH;0,00;0,50;KGS;7032;Fixed Fish Procurement;
28093;70320013105;27-10-2020;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
28094;70320013105;27-10-2020;10016;GINGER/JAHE;3,72;6,00;KGS;7032;Fixed Fish Procurement;
28142;70460013126;03-11-2020;63295;ALUMINIUM FOIL @ 5MM X 120CM X 50MTR/ROLL;0,00;4,00;ROLLS;7046;Engineering;
28169;70460013128;03-11-2020;65467;GRINDING WHEEL 4 NIPPON RESIBON;25,00;5,00;PCS;7046;Engineering;
28182;70460013130;03-11-2020;63295;ALUMINIUM FOIL @ 5MM X 120CM X 50MTR/ROLL;0,00;2,00;ROLLS;7046;Engineering;
28211;70460013145;05-11-2020;63780;PIONER NON-SAG EPOXY ( HIGH PERFORMANCE MARINE APPLICATION) B;0,00;2,00;TINS;7046;Engineering;
28349;70460013153;06-11-2020;65886;TRANSFER ALUMINIUM UK. 3/4 INC X 6MTR;7,00;4,00;LE;7046;Engineering;
28262;70460013159;07-11-2020;60740;MARINE PLYWOOD 6MM X 120 CM X 240 CM;0,00;20,00;SHTS;7046;Engineering;
28274;70460013160;07-11-2020;64152;BAMBU/BULU 3 X 8 MTR;0,00;10,00;LE;7046;Engineering;
28295;70460013174;09-11-2020;54085;CAT JOTUN WARNA SILVER @ 5 KG/TIN;0,00;5,00;TIN;7046;Engineering;
28296;70460013174;09-11-2020;52152;THINNER JOTUN NO.2 @ 5 LTR/TIN;0,00;2,00;TIN;7046;Engineering;
28298;70460013175;09-11-2020;54085;CAT JOTUN WARNA SILVER @ 5 KG/TIN;0,00;6,00;TIN;7046;Engineering;
28299;70460013175;09-11-2020;52152;THINNER JOTUN NO.2 @ 5 LTR/TIN;0,00;4,00;TIN;7046;Engineering;
28301;70460013175;09-11-2020;64152;BAMBU/BULU 3 X 8 MTR;0,00;10,00;LE;7046;Engineering;
28312;70320013178;10-11-2020;10235;CENGKEH;0,00;0,63;KGS;7032;Fixed Fish Procurement;
28313;70320013178;10-11-2020;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
28314;70320013178;10-11-2020;10016;GINGER/JAHE;0,00;6,00;KGS;7032;Fixed Fish Procurement;
28355;70420013196;12-11-2020;30206;CARTON WITH PRINTING DOLPHIN SSO EOE 307;0,00;25.725,00;PCS;7042;Inventory Management;
28357;70420013198;12-11-2020;21750;EOE PRINTED LIDS FOR DOLPHIN SOLID;0,00;1.272.960,00;PCS;7042;Inventory Management;
28361;70420013198;12-11-2020;21751;CANS 307 X 113 GREY BODY IMPORT;0,00;1.272.960,00;PCS;7042;Inventory Management;
28396;70320013218;16-11-2020;10235;CENGKEH;0,00;0,50;KGS;7032;Fixed Fish Procurement;
28397;70320013218;16-11-2020;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
28398;70320013218;16-11-2020;10016;GINGER/JAHE;0,00;6,00;KGS;7032;Fixed Fish Procurement;
28405;70440013223;16-11-2020;10015;ONION/BAWANG MERAH;0,00;2,11;KGS;7044;Quality Assurance;
28406;70440013223;16-11-2020;10014;GARLIC/BAWANG PUTIH;0,00;2,11;KGS;7044;Quality Assurance;
28407;70440013223;16-11-2020;10065;LAOS;0,00;1,00;KGS;7044;Quality Assurance;
28408;70440013223;16-11-2020;10019;YELOW GINGER/KUNYIT;0,00;1,80;KGS;7044;Quality Assurance;
28409;70440013223;16-11-2020;10037;CABE RAWIT;0,00;1,00;KG;7044;Quality Assurance;
28410;70440013223;16-11-2020;10018;CANDLENUT/KEMIRI;0,00;1,58;KGS;7044;Quality Assurance;
28411;70440013223;16-11-2020;10024;RED CHILI - BIG SIZE;0,00;0,38;KGS;7044;Quality Assurance;
28412;70440013223;16-11-2020;10062;DAUN SALAM;0,00;0,19;KGS;7044;Quality Assurance;
28413;70440013223;16-11-2020;10020;LEMON GRASS/DAUN LEMON;0,00;0,19;KGS;7044;Quality Assurance;
28414;70440013223;16-11-2020;10026;BATANG SEREH;0,00;0,08;KGS;7044;Quality Assurance;
28415;70440013223;16-11-2020;10021;YELOW GINGER LEAVE/DAUN KUNYIT;0,00;0,53;KGS;7044;Quality Assurance;
28416;70440013223;16-11-2020;10066;SUGAR WHITE;0,00;0,77;KGS;7044;Quality Assurance;
28417;70440013223;16-11-2020;10063;SANTAN;0,00;15,84;KGS;7044;Quality Assurance;
28421;70440013227;17-11-2020;57854;HAND SANITIZER;0,00;1,00;BTL;7044;Quality Assurance;
28429;70420013232;18-11-2020;90299;MAP DIAMOND;0,00;100,00;PCS;7042;Inventory Management;
28457;70460013243;21-11-2020;53500;Sikatop 121 25 Kg kompone A;0,00;2,00;SACK;7046;Engineering;
28458;70460013243;21-11-2020;55301;Sikatop 121 25 Kg kompone B;0,00;2,00;GLN;7046;Engineering;
28459;70460013243;21-11-2020;55302;Sikatop 121 5 Kg kompone C;0,00;2,00;TINS;7046;Engineering;
28460;70460013243;21-11-2020;55303;Sikatop 121 5 Kg kompone D;0,00;2,00;TINS;7046;Engineering;
28478;70320013254;24-11-2020;10235;CENGKEH;0,00;0,50;KGS;7032;Fixed Fish Procurement;
28479;70320013254;24-11-2020;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
28480;70320013254;24-11-2020;10016;GINGER/JAHE;0,00;6,00;KGS;7032;Fixed Fish Procurement;
28483;70460013255;24-11-2020;61755;ALUMINIUM PLATE  2MM X 100 CM X 200 CM;0,00;20,00;SHEET;7046;Engineering;
28502;70440013265;25-11-2020;10066;SUGAR WHITE;0,00;10,00;KGS;7044;Quality Assurance;
28513;70630013271;26-11-2020;50175;SPANDUK PROMO VIAND TUNA;0,00;1,00;PCS;7063;Variable Viand Tuna;
28545;70320013286;30-11-2020;10235;CENGKEH;0,00;0,50;KGS;7032;Fixed Fish Procurement;
28546;70320013286;30-11-2020;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
28547;70320013286;30-11-2020;10016;GINGER/JAHE;0,00;6,00;KGS;7032;Fixed Fish Procurement;
28596;70460013314;07-12-2020;02813;SLC TOOLS FOR REPLACEMENT OF MOSQUITOUS / BROKEN CEILING IN MD;0,00;1,00;M2;7046;Engineering;
28636;70320013332;14-12-2020;10235;CENGKEH;0,00;1,00;KGS;7032;Fixed Fish Procurement;
28637;70320013332;14-12-2020;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
28638;70320013332;14-12-2020;10016;GINGER/JAHE;30,00;6,00;KGS;7032;Fixed Fish Procurement;
28669;70440013337;14-12-2020;10066;SUGAR WHITE;15,00;1,93;KGS;7044;Quality Assurance;
28670;70440013337;14-12-2020;10063;SANTAN;0,00;39,60;KGS;7044;Quality Assurance;
28708;70440013350;15-12-2020;10068;TAPIOKA;-1,00;1,00;KGS;7044;Quality Assurance;
28709;70440013350;15-12-2020;10036;JERUK;0,00;2,00;KGS;7044;Quality Assurance;
28752;70420013365;18-12-2020;50881;HAND GLOVE COTTON (BLACK);0,00;24,00;PAIRS;7042;Inventory Management;
28776;70320013379;22-12-2020;90181;COOLING PAD LAPTOP;0,00;1,00;UNIT;7032;Fixed Fish Procurement;
28780;70460013381;23-12-2020;65888;ALUMINIUM HOLLO UK. 10MM X 20MM X 6MTR;0,00;3,00;LE;7046;Engineering;
28784;70460013384;23-12-2020;61255;PAKU SENG (SCREW BOLT 5 MM X 2 ) @ 200PCS/ Box;0,00;1,00;BOX;7046;Engineering;
28807;70320013398;29-12-2020;10024;RED CHILI - BIG SIZE;0,00;528,00;KGS;7032;Fixed Fish Procurement;
28850;70320013416;07-01-2021;10235;CENGKEH;0,00;1,00;KGS;7032;Fixed Fish Procurement;
28851;70320013416;07-01-2021;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
28852;70320013416;07-01-2021;10016;GINGER/JAHE;0,00;6,00;KGS;7032;Fixed Fish Procurement;
28872;70460013430;11-01-2021;52174;KRAN AIR MERK TOTO S/S 1/2 INCH;0,00;4,00;PCS;7046;Engineering;
28873;70460013430;11-01-2021;54878;GI SHOCK 1.5 INCH;0,00;3,00;PC;7046;Engineering;
28894;70480013443;13-01-2021;50183;MITTELA;0,00;12,00;PCS;7048;Human Resources Development;
28896;70480013443;13-01-2021;92241;PENITI;0,00;132,00;PCS;7048;Human Resources Development;
28900;70480013444;13-01-2021;92246;GELAS UNTUK CUCI MATA;0,00;1,00;PCS;7048;Human Resources Development;
28901;70480013444;13-01-2021;92247;KANTUNG PLASTIC BERSIH;0,00;50,00;PCS;7048;Human Resources Development;
28944;70320013462;19-01-2021;10235;CENGKEH;0,00;0,50;KGS;7032;Fixed Fish Procurement;
28945;70320013462;19-01-2021;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
28946;70320013462;19-01-2021;10016;GINGER/JAHE;0,00;6,00;KGS;7032;Fixed Fish Procurement;
28950;70420013465;19-01-2021;10009;VG 950;0,00;5.280,00;KGS;7042;Inventory Management;
28970;70420013473;22-01-2021;91003;PAPER FASTENER;2,00;5,00;DOS;7042;Inventory Management;
28999;70320013492;28-01-2021;10235;CENGKEH;0,00;1,00;KGS;7032;Fixed Fish Procurement;
29000;70320013492;28-01-2021;10117;KAYU MANIS / CINNAMON;0,00;1.000,00;GRAMS;7032;Fixed Fish Procurement;
29001;70320013492;28-01-2021;10016;GINGER/JAHE;0,00;7,00;KGS;7032;Fixed Fish Procurement;
29003;70460013493;28-01-2021;60220;MATA KRAN LEHER ANGSA;0,00;2,00;PCS;7046;Engineering;
29039;70320013507;29-01-2021;10024;RED CHILI - BIG SIZE;412,20;530,00;KGS;7032;Fixed Fish Procurement;
29079;70440013525;03-02-2021;10027;KUNYIT BUBUK;0,40;0,50;KGS;7044;Quality Assurance;
29114;70320013542;05-02-2021;10235;CENGKEH;0,00;1,00;KGS;7032;Fixed Fish Procurement;
29115;70320013542;05-02-2021;10117;KAYU MANIS / CINNAMON;0,00;1.000,00;GRAMS;7032;Fixed Fish Procurement;
29116;70320013542;05-02-2021;10016;GINGER/JAHE;3,83;7,00;KGS;7032;Fixed Fish Procurement;
29156;70420013565;15-02-2021;92566;TISSUE ROLL BESAR;0,00;12,00;PACK;7042;Inventory Management;
29164;70440013566;15-02-2021;10020;LEMON GRASS/DAUN LEMON;0,60;3,60;KGS;7044;Quality Assurance;
29166;70440013566;15-02-2021;10021;YELOW GINGER LEAVE/DAUN KUNYIT;0,50;3,00;KGS;7044;Quality Assurance;
29173;70320013570;16-02-2021;10235;CENGKEH;0,00;1,00;KGS;7032;Fixed Fish Procurement;
29174;70320013570;16-02-2021;10117;KAYU MANIS / CINNAMON;0,00;500,00;GRAMS;7032;Fixed Fish Procurement;
29175;70320013570;16-02-2021;10016;GINGER/JAHE;0,00;7,00;KGS;7032;Fixed Fish Procurement;
29214;70320013593;01-03-2021;10016;GINGER/JAHE;22,50;7,00;KGS;7032;Fixed Fish Procurement;
29208;70420013587;01-03-2021;92007;BALLPOINT SNOWMAN V5;0,00;120,00;PCS;7042;Inventory Management;
29254;70460013617;03-03-2021;52442;PENUTUP GALLON AQUA;200,00;2.000,00;PCS;7046;Engineering;
29256;70460013619;03-03-2021;65700;DAUN PINTU PVC 70 CM X 200 CM;0,00;1,00;PC;7046;Engineering;
29298;70420013643;09-03-2021;94531;INK REFILL FOR EPSON 3100 COLOR BLACK;0,00;3,00;BTL;7042;Inventory Management;
29348;70320013669;15-03-2021;10235;CENGKEH;0,00;1,00;KGS;7032;Fixed Fish Procurement;
29349;70320013669;15-03-2021;10117;KAYU MANIS / CINNAMON;0,00;1.000,00;GRAMS;7032;Fixed Fish Procurement;
29351;70320013669;15-03-2021;10016;GINGER/JAHE;22,50;7,00;KGS;7032;Fixed Fish Procurement;
29390;70440013684;18-03-2021;50170;SARUNG TANGAN KARET;0,00;2,00;BOX;7044;Quality Assurance;
29391;70440013684;18-03-2021;54520;SARUNG TANGAN KARET TEBAL WARNA BIRU;0,00;1,00;LUSIN;7044;Quality Assurance;
29379;70480013679;18-03-2021;56980;BAJU APD;0,00;4,00;PCS;7048;Human Resources Development;
29381;70520013681;18-03-2021;54468;RAK FOR FILE;0,00;4,00;UNIT;7052;Finance;
29404;70460013693;22-03-2021;69700;SARINGAN KAMAR MANDI ( stainless );0,00;5,00;PCS;7046;Engineering;
29412;70460013696;22-03-2021;63295;ALUMINIUM FOIL @ 5MM X 120CM X 50MTR/ROLL;0,00;2,00;ROLLS;7046;Engineering;
29430;70320013709;25-03-2021;10235;CENGKEH;0,00;1,00;KGS;7032;Fixed Fish Procurement;
